Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,quality_book_char (run)
SRR099227,RNA-Seq,76,1660188232,PRJNA79859,SAMN00139605,783981562,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033476,Illumina Genome Analyzer II,B6_6_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:24:00Z,2,B6_6_4,SRP004777,
SRR099229,RNA-Seq,76,1326394484,PRJNA79859,SAMN00139607,629300328,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033479,Illumina Genome Analyzer II,B6_8_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:28:00Z,2,B6_8_4,SRP004777,
SRR099223,RNA-Seq,76,1266274760,PRJNA79859,SAMN00139601,625255563,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033472,Illumina Genome Analyzer II,D2_1_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:21:00Z,2,D2_1_4,SRP004777,
SRR099224,RNA-Seq,76,1521563320,PRJNA79859,SAMN00139602,755881408,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033473,Illumina Genome Analyzer II,D2_2_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:23:00Z,2,D2_2_4,SRP004777,
SRR099225,RNA-Seq,76,1187948172,PRJNA79859,SAMN00139603,579016035,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033474,Illumina Genome Analyzer II,D2_3_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:22:00Z,2,D2_3_4,SRP004777,
SRR099226,RNA-Seq,76,1197478724,PRJNA79859,SAMN00139604,556207836,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033475,Illumina Genome Analyzer II,D2_5_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:21:00Z,2,D2_5_4,SRP004777,
SRR099228,RNA-Seq,76,1630065328,PRJNA79859,SAMN00139606,754531749,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033478,Illumina Genome Analyzer II,B6_7_4_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:22:00Z,2,B6_7_4,SRP004777,
SRR099230,RNA-Seq,76,1168116808,PRJNA79859,SAMN00139608,685287777,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033480,Illumina Genome Analyzer II,B6_1_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:27:00Z,2,B6_1_6,SRP004777,
SRR099231,RNA-Seq,76,1062039352,PRJNA79859,SAMN00139609,609820763,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033481,Illumina Genome Analyzer II,B6_2_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:27:00Z,2,B6_2_6,SRP004777,
SRR099232,RNA-Seq,76,1127182600,PRJNA79859,SAMN00139610,634714416,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033482,Illumina Genome Analyzer II,B6_3_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:27:00Z,2,B6_3_6,SRP004777,
SRR099233,RNA-Seq,76,1328324048,PRJNA79859,SAMN00139611,742473949,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033483,Illumina Genome Analyzer II,B6_5_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:28:00Z,2,B6_5_6,SRP004777,
SRR099234,RNA-Seq,76,1625252476,PRJNA79859,SAMN00139612,924019853,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033484,Illumina Genome Analyzer II,D2_6_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:29:00Z,2,D2_6_6,SRP004777,
SRR099235,RNA-Seq,76,1249495404,PRJNA79859,SAMN00139613,682286077,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033485,Illumina Genome Analyzer II,D2_7_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:28:00Z,2,D2_7_6,SRP004777,
SRR099236,RNA-Seq,76,1418638724,PRJNA79859,SAMN00139614,792617704,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033486,Illumina Genome Analyzer II,D2_8_6_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:28:00Z,2,D2_8_6,SRP004777,
SRR099237,RNA-Seq,70,1941991940,PRJNA79859,SAMN00139615,1341107171,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033488,Illumina Genome Analyzer II,B6_1_7_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:30:00Z,2,B6_1_7,SRP004777,
SRR099238,RNA-Seq,70,2023309470,PRJNA79859,SAMN00139616,1378600972,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033489,Illumina Genome Analyzer II,B6_2_7_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:31:00Z,2,B6_2_7,SRP004777,@
SRR099239,RNA-Seq,70,2200594970,PRJNA79859,SAMN00139617,1528317038,OHSU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX033490,Illumina Genome Analyzer II,B6_3_7_lib,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2011-03-24T00:00:00Z,2014-05-30T00:31:00Z,2,B6_3_7,SRP004777,
